ID,Q_0.1_1,Q_0.1_2,Q_0.2_0,Q_0.3_1,Q_0.3_2,Q_0.3_3,Q_0.3_4,Q_0.4_0,Q_0.5_1,Q_0.5_2,Q_0.5_3,Q_0.5_4,Q_0.6_1,Q_1.0_0,Q_1.11_1,Q_1.11_2,Q_1.12_0,Q_1.13_0,Q_1.14_0,Q_1.15_0,Q_1.1_0,Q_1.6_0,Q_1.7_1,Q_1.7_2,Q_1.8_0,Q_1.9_0,Q_4.0_0,Q_4.11_0,Q_4.11a_1,Q_4.11a_2,Q_4.11a_3,Q_4.11b_1,Q_4.11b_2,Q_4.13_0,Q_4.1_1,Q_4.1_2,Q_4.2_1,Q_4.2_2,Q_4.2_3,Q_4.3_1,Q_4.3_2,Q_4.3a_0,Q_4.4_0
35905,2,1,,1,0,8,1,1,16,19,16,20,7,1,3,3,1,3,3,2,1,4,1,1,,1,1,1,1,1,0,,,2,0,0,1,0,0,1,0,,4
35907,2,1,,1,1,10,1,1,17,19,17,30,0,1,0,0,1,1,2,1,5,4,0,0,,0,3,,,,,,,,,,,,,,,,
35910,2,1,0,1,1,0,0,0,16,11,16,22,6,1,,,,,,,1,,,,,,1,0,,,,,,0,0,0,1,0,0,3,0,,0
35913,2,1,0,1,1,0,1,1,16,17,16,30,7,1,2,2,1,1,2,1,1,2,1,1,,1,3,,,,,,,,,,,,,,,,
35915,2,1,,1,1,12,1,1,15,11,16,21,7,3,2,3,1,1,1,1,2,4,1,1,,1,2,,,,,,,,0,0,1,0,0,1,0,,3
35993,6,1,,1,1,1,1,1,16,18,16,20,7,1,5,5,1,1,3,1,1,4,1,1,,1,1,4,,,,5,1,2,0,0,1,1,1,3,1,,4
36002,2,1,0,1,1,0,1,1,17,17,18,50,10,1,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
36004,2,1,0,1,1,0,1,0,16,14,16,30,8,1,2,2,3,3,2,1,1,3,1,1,,0,0,,,,,,,,,,,,,,,,
36032,2,1,0,1,1,12,1,1,15,13,15,25,19,1,2,5,3,1,2,3,1,1,1,1,,1,2,,,,,,,,0,0,1,0,0,1,1,,3
36036,2,1,0,1,1,5,1,1,16,11,16,20,9,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,
36037,2,1,0,1,1,0,1,1,15,15,15,20,7,1,,,,,,,1,,,,,,1,5,,,,,,2,0,0,1,0,0,3,0,,2
36039,7,1,0,1,1,0,1,1,15,19,15,20,4,1,5,2,1,1,2,1,1,2,1,1,,1,1,1,1,0,0,,,2,0,0,3,0,0,1,0,2,1
36041,2,1,,1,1,12,1,1,15,10,15,20,14,3,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,
36043,5,1,,1,1,1,1,0,15,17,16,20,0,1,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,
36045,2,1,0,1,1,0,1,1,15,10,15,19,6,1,,,,,,,1,,,,,,1,0,,,,,,2,0,0,0,0,0,0,0,,0
36158,2,1,0,1,1,6,1,1,14,14,0,0,10,2,,,,,,,1,,,,,,1,4,,,,4,1,2,0,0,1,0,0,7,1,,1
36159,2,1,0,1,1,0,1,1,14,11,14,30,5,1,6,5,3,5,2,1,1,3,1,1,,1,1,3,,,,5,0,2,0,0,1,0,0,3,1,,1
36223,2,1,,1,1,0,1,1,15,15,15,20,5,1,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,
36254,2,1,0,1,1,6,1,1,13,18,13,28,7,2,3,5,3,1,2,1,1,4,1,1,,1,1,1,1,1,1,,,2,0,0,1,0,0,1,0,1,1
36261,2,1,0,1,1,0,1,1,12,18,0,0,4,1,,,,,,,1,,,,,,1,2,,,,,,2,0,0,1,0,0,3,1,,1
36262,2,1,0,1,1,6,1,1,14,18,14,25,6,1,,,,,,,1,,,,,,1,1,1,0,0,,,3,0,0,4,1,1,3,0,,1
36263,2,1,0,1,1,4,1,1,12,18,12,19,7,1,,,,,,,2,,,,,,1,0,,,,,,2,0,0,1,0,0,5,1,,1
36274,2,1,0,1,1,6,1,1,13,18,13,30,5,1,,,,,,,1,,,,,,1,3,,,,4,0,2,0,0,1,0,0,7,1,,1
36282,0,0,0,1,1,5,1,1,11,18,11,20,5,3,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,
36285,2,1,0,1,1,5,1,0,13,19,13,30,0,1,,,,,,,1,,,,,,1,1,0,0,0,,,0,0,0,0,0,0,0,0,,0
36286,2,1,0,0,1,5,1,1,12,17,0,0,7,3,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,
36410,2,1,0,1,1,12,1,1,14,18,14,20,7,3,,,,,,,1,,,,,,1,3,,,,1,1,2,0,0,3,0,1,1,0,2,3
36426,2,1,0,1,1,6,1,1,14,19,14,30,6,1,,,,,,,1,,,,,,1,4,,,,1,1,2,0,0,1,1,1,3,1,,1
36469,2,1,,1,1,6,1,1,12,18,0,0,11,1,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,
36470,2,1,0,1,1,0,1,1,12,17,12,19,4,1,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,
36477,2,1,0,1,1,0,1,1,12,0,0,0,6,1,,,,,,,2,,,,,,2,,,,,,,,0,0,0,0,0,0,0,,0
36491,2,1,0,1,1,6,1,1,12,18,0,0,5,1,,,,,,,1,,,,,,1,4,,,,0,0,2,0,0,1,0,0,5,0,,1
36492,2,1,0,1,1,6,1,1,13,18,13,30,6,2,,,,,,,1,,,,,,1,5,,,,,,2,0,0,1,0,0,3,0,,1
